11	21	6	2
11	21	0	2
11	21	1	1
11	22	1	2
11	22	0	0
11	22	0	0
11	22	4	1
11	23	0	0
11	23	1	2
11	23	7	0
11	23	1	0
11	24	1	0
11	24	0	0
11	24	3	2
11	24	2	0
11	25	0	2
11	25	1	3
11	25	1	1
11	25	0	0
11	26	0	1
11	26	2	0
11	26	2	1
11	26	2	0
11	27	0	1
11	27	0	2
11	27	4	1
11	27	1	1
11	28	3	3
11	28	2	3
11	28	1	0
11	28	2	0
11	29	2	0
11	29	1	2
11	29	0	3
11	29	0	1
11	30	1	0
11	30	1	0
11	30	0	2
11	30	1	2
12	1	0	0
12	1	1	2
12	1	2	1
12	1	2	4
12	2	0	2
12	2	2	1
12	2	2	3
12	2	1	0
12	3	3	1
12	3	2	1
12	4	3	1
12	4	3	0
12	5	1	1
12	5	4	1
12	6	0	0
12	6	6	1
12	9	1	1
12	9	2	2
12	10	1	0
12	10	1	2
12	13	3	0
12	14	2	0
12	17	2	1
12	18	3	3
