0	0	0	0	1.9	7.4	37.1	11.4	0	1.1	0	0
0	0	0	0	10.4	44.6	2.9	5.4	10.6	2.7	0	0
0	0	0	0	0	19.5	10.4	18.4	14.2	0.3	0	0
0	0	0	0	4.6	9	27.2	14.5	3.8	1	0	0
0	0	0	0	0.2	10.5	27.6	5.3	0.7	0	0	0
0	0	0	0	5	20.1	28.8	8	15.4	1.1	0	0
0	0	0	0	6	19.1	3.4	5.9	3.6	0	0	0
0	0	0	1.8	0.2	4	25.3	17.6	9.5	6.1	0	0
0	0	0	0	2.6	18.4	25.3	26.7	2.9	0	0	0
0	0	0	0.7	16.2	16.8	29.4	12	0.1	2	0	0
0	0	0	0	0	11.5	27.4	18.4	0	0	0	0
0	0	0	0	1.3	23.6	53.8	25.5	1.4	0	0	0
0	0	0	0	0	5.7	35	9	1.5	0	0	0
0	0	0	0	0	9.1	11.9	26.7	12.2	0	0	0
0	0	0	0.2	19.1	0.2	22.1	36.2	6.1	0	0	0
0	0	0	0	9.1	1.4	18.7	30.1	6.8	4.1	0	0
0	0	0	0	0.5	23.7	9.1	0.4	7.9	0.6	0	0
0	0	0	0	0	32.4	22	29.6	7.6	1.5	0	0
0	0	0	0	12.1	0.9	23.9	7.3	0.5	1	0	0
0	0	0	0.2	6.8	3.9	9.6	17.9	3	3.7	0	0
0	0	0	0	1.3	15.4	14.6	20.4	0	0.7	0	0
0	0	0	0	1.8	1.5	21.5	23.9	6.1	1.2	0	0
